,star_rating,review_title,review_content,date_of_rating,date_of_experience,reviewer_name,num_reviews,country,review_link,profile_link
65b38290c8abb0880e441f61,5,this company is doing well.,,2024-01-26T11:59:45.000Z,"January 26, 2024",aiah ricalde,1,PH,https://www.trustpilot.com/reviews/65b38290c8abb0880e441f61,https://www.trustpilot.com/users/65b382867a195f0012715da9
65b3828f19b9783105a19520,5,Theyre doing well,Theyre doing well ! Great company! Recommended,2024-01-26T11:59:43.000Z,"January 14, 2024",The Jenussson,2,TR,https://www.trustpilot.com/reviews/65b3828f19b9783105a19520,https://www.trustpilot.com/users/65ae7f3805236a0011777f93
65b3823326181c3ff84e4ed4,5,Superb music for this :) Love it.,,2024-01-26T11:58:12.000Z,"January 26, 2024",Joel Cariño,2,PH,https://www.trustpilot.com/reviews/65b3823326181c3ff84e4ed4,https://www.trustpilot.com/users/647f005cdb5e010012202411
65b381848b6732febbc9f6aa,5,nice placee,"nice placee, very comforting.",2024-01-26T11:55:17.000Z,"January 26, 2024",Danan Setiiyadii,1,ID,https://www.trustpilot.com/reviews/65b381848b6732febbc9f6aa,https://www.trustpilot.com/users/65b3817c7a195f0012715ce8
6596c910eb126f452d543253,1,This service is 100% a scam,"This service is 100% a scam. I received an email from Spotify saying that all the views I gained were artificial and I wouldn’t be receiving a payout. Jake Shaw is extremely rude and abrupt, and just ignores messages when confronted. I feel like coffeezilla should expose him on YouTube. Somebody needs to expose him as YourOwnMusic is a massive fake music platform. He is making so much money for literally doing nothing but run bot playlists 🤦‍♂️🤦‍♂️ I will be trying my best to contact big YouTube exposers to expose this fraud!!!",2024-01-04T17:04:48.000Z,"December 20, 2023",Owen,3,GB,https://www.trustpilot.com/reviews/6596c910eb126f452d543253,https://www.trustpilot.com/users/63ed1201c9d8e70012456abe
6527a77fbe7adbb00955c73d,5,Its goods and amazing,,2023-10-12T09:59:59.000Z,"October 12, 2023",Hakdog Dumbel,1,PH,https://www.trustpilot.com/reviews/6527a77fbe7adbb00955c73d,https://www.trustpilot.com/users/6527a774e41bcc0012cd5ffe
6527a656608f8491996a086e,5,Good experience,,2023-10-12T09:55:02.000Z,"October 12, 2022",Rim,2,ID,https://www.trustpilot.com/reviews/6527a656608f8491996a086e,https://www.trustpilot.com/users/6527a624a402e50011c80693
6527a5b89d0133868b1780f7,5,Excellent experiences,"Excellent experiences, I'm satisfied!",2023-10-12T09:52:25.000Z,"October 07, 2023",Choco Cookiss,4,ID,https://www.trustpilot.com/reviews/6527a5b89d0133868b1780f7,https://www.trustpilot.com/users/5ccd89cf27bc27a3b123beff
6527a5a6f6c46c46e78529b5,5,Amazing project nice features easy to…,Amazing project nice features easy to use indeed full of surprises,2023-10-12T09:52:06.000Z,"October 12, 2023",tatlong bibe,2,PH,https://www.trustpilot.com/reviews/6527a5a6f6c46c46e78529b5,https://www.trustpilot.com/users/63f0b028c6f5570013602771
6527a59ba88ef87e0685a1d9,5,A great place to promote your music!,,2023-10-12T09:51:55.000Z,"October 12, 2023",bigwinterus,2,ID,https://www.trustpilot.com/reviews/6527a59ba88ef87e0685a1d9,https://www.trustpilot.com/users/6520b194afcc9e0012e145a9
6527a0e016520dde2477d285,5,this company is excellent im impressed…,this company is excellent im impressed with their service more customers to come!,2023-10-12T09:31:44.000Z,"October 11, 2023",Merriel Joy Garino,1,PH,https://www.trustpilot.com/reviews/6527a0e016520dde2477d285,https://www.trustpilot.com/users/64ecb4a3e205c20012a69aa6
